 snapshot redshift d_c d_c_min d_c_max redshift_min redshift_max volMpc3
0 78.0 0.3 1231.8257093844422 1174.6206415446559 1231.8257093844422 0.2849360559659267 0.30000000032317803 1040922906.4245844
1 79.0 0.27 1117.4155737048698 1098.1302040763849 1174.6206415446559 0.2649929555106652 0.2849360559659267 1241722723.4385633
2 80.0 0.26 1078.8448344479002 1039.9478330662873 1098.1302040763849 0.24997202277538513 0.2649929555106652 835786948.0335503
3 81.0 0.24 1001.0508316846747 981.4390300271534 1039.9478330662873 0.23499305536955195 0.24997202277538513 751261704.7674327
4 82.0 0.23 961.8272283696322 922.276771637732 981.4390300271534 0.2199724516062981 0.23499305536955195 673811590.7584233
5 83.0 0.21 882.7263149058319 862.7876308887053 922.276771637732 0.20499317120202803 0.2199724516062981 595739137.4484024
6 84.0 0.2 842.8489468715787 802.6447808562534 862.7876308887053 0.18997291216177706 0.20499317120202803 524296254.92428255
7 85.0 0.18 762.4406148409282 742.175254678305 802.6447808562534 0.1749932918352154 0.18997291216177706 453590446.02990055
8 86.0 0.17 721.9098945156818 681.0531219263894 742.175254678305 0.15997341980115268 0.1749932918352154 389192559.1981535
9 87.0 0.15 640.1963493370971 619.6052187966377 681.0531219263894 0.14499342201859947 0.15997341980115268 326818319.80309355
10 88.0 0.14 599.0140882561783 578.314695626076 619.6052187966377 0.13499347272710724 0.14499342201859947 186220550.41000128
11 89.0 0.13 557.6153029959736 515.8926036236807 578.314695626076 0.1199741621391086 0.13499347272710724 235048981.38042974
12 90.0 0.11 474.1699042513877 453.1471058869082 515.8926036236807 0.1049936147290385 0.1199741621391086 185362617.55094463
13 91.0 0.1 432.12430752242875 389.75730543254735 453.1471058869082 0.08997476619927201 0.1049936147290385 141756785.23247293
14 92.0 0.08 347.390303342666 326.04678637006845 389.75730543254735 0.07499377269343342 0.08997476619927201 102824045.45467636
15 93.0 0.07 304.7032693974709 283.25358372532384 326.04678637006845 0.06499382440189314 0.07499377269343342 49992076.19368842
16 94.0 0.06 261.8038980531768 240.24846362915787 283.25358372532384 0.05499388031172961 0.06499382440189314 37109288.45602345
17 95.0 0.05 218.69302920513894 175.2667497408923 240.24846362915787 0.039975863934115556 0.05499388031172961 35533753.99375603
18 96.0 0.03 131.84047027664568 109.97062163727497 175.2667497408923 0.024994053538399 0.039975863934115556 16981297.78847695
19 97.0 0.02 88.10077299790426 66.12716877166044 109.97062163727497 0.014994114927072037 0.024994053538399 4359578.49266607
20 98.0 0.01 44.153564545416614 22.076782272708307 66.12716877166044 0.004994174631014321 0.014994114927072037 1166164.3626821185
21 99.0 0.0 0.0 0.0 22.076782272708307 0.0 0.0 0.0
